run_id,platform,slot,target_name,target_url,recipient_email,subject,body,status,provider,source,created_at
33425483123,facebook,1,"Tangshan Runying International Trade Co.,Ltd (@tangsteel)",https://www.facebook.com/tangsteel/,,,,no_public_business_email,,,2026-08-31T18:31:55.132315+00:00
33425483123,facebook,2,"Tangshan Fengrun Shenheng Steel Co., Ltd | Tangshan | Facebook",https://www.facebook.com/p/Tangshan-Fengrun-Shenheng-Steel-Co-Ltd-100063520182090/,,,,no_public_business_email,,,2026-08-31T18:31:55.133547+00:00
33425483123,facebook,3,"Tangshan Dongfang Baode Trading Co.,ltd | Tangshan | Facebook",https://www.facebook.com/tsrealsteel/,,,,no_public_business_email,,,2026-08-31T18:31:55.135554+00:00
33425483123,facebook,4,"Tangshan Fengnan Shengfeng Iron and Steel Co., Ltd in China. | ...",https://www.facebook.com/ShengfengSteel/,,,,no_public_business_email,,,2026-08-31T18:31:55.136185+00:00
33425483123,facebook,5,Tangshan Mulan Industrial Co Ltd & Tangshan Xinghe Trade Co Ltd ...,https://www.facebook.com/XingheTrade,,,,no_public_business_email,,,2026-08-31T18:31:55.136703+00:00
33425483123,linkedin,1,Tangshan Guofeng Iron & Steel Co. Ltd. | LinkedIn,https://www.linkedin.com/company/tangshan-guofeng-iron-&-steel-co-ltd-,,,,no_public_business_email,,,2026-08-31T18:31:55.659675+00:00
33425483123,linkedin,2,"Tangshan Shenheng Steel Co., Ltd",https://www.linkedin.com/company/tangshan-shenheng-steel-co-ltd,sales@shenhengsteel.com,International Sourcing & Supplier Comparison for Tangshan Shenheng Steel,"Dear Procurement Team at Tangshan Shenheng Steel Co., Ltd,

I am reaching out from ROZHAN GLOBAL (Rozhan Tejarat Sirvan). We assist industrial companies in the steel sector with competitive international sourcing, cross-border procurement support, and maintaining long-term supply continuity.

Given your operations in the Tangshan Caofeidian Industrial Zone, we would welcome the opportunity to support your supply chain. Could you share what key materials or products your company currently sources or imports?

If you are open to a supplier comparison or receiving a competitive quotation, please let us know how we can best assist you.

Best regards,

ROZHAN GLOBAL (Rozhan Tejarat Sirvan)
Website: https://www.rojanglobal.com
WhatsApp: +989023517939
Email: info@rojanglobal.com",sent,gemini:gemini-3.6-flash,http://shenheng-steel.com/,2026-08-31T18:31:55.660473+00:00
33425483123,linkedin,3,"TANGSHAN JIENING INTERNATIONAL TRADE Co.,Ltd | LinkedIn",https://www.linkedin.com/company/tangshan-grand-faith-steel-co.-ltd,,,,no_public_business_email,,,2026-08-31T18:31:55.660965+00:00
33425483123,linkedin,4,"TIANJIN ZHENXIANG STRIP PROCESSING CO.,LTD | LinkedIn",https://www.linkedin.com/company/zhenxiangsteel,,,,no_public_business_email,,,2026-08-31T18:31:55.661425+00:00
33425483123,linkedin,5,"Shanghai Zhanzhi Industry Group Co.,Ltd | LinkedIn",https://www.linkedin.com/company/zhanzhisteel,,,,no_public_business_email,,,2026-08-31T18:31:55.661923+00:00
33427276054,facebook,1,"Nanjing Jiangbei New Area, China | Facebook",https://www.facebook.com/NJNAgov,,,,no_public_business_email,,,2026-08-31T18:52:14.114954+00:00
33427276054,facebook,2,Made-in-China.com Industry | Nanjing | Facebook,https://www.facebook.com/made.in.china.industry/,,,,no_public_business_email,,,2026-08-31T18:52:15.064278+00:00
33427276054,facebook,3,"Jianhui Steel Co., Ltd (@jianhuissteel)",https://www.facebook.com/jianhuissteel/,,,,no_public_business_email,,,2026-08-31T18:52:15.937091+00:00
33427276054,facebook,4,"Nanjing Jiangbei New Area, China",https://m.facebook.com/NJNAgov/photos/,,,,no_public_business_email,,,2026-08-31T18:52:16.682321+00:00
33427276054,facebook,5,"Jiangsu Jingye Steel Co., Ltd. | Wuxi | Facebook",https://www.facebook.com/p/Jiangsu-Jingye-Steel-Co-Ltd-61560116196664/,,,,no_public_business_email,,,2026-08-31T18:52:17.514492+00:00
33427276054,linkedin,1,"Shandong Tianjinhong International Trade Co.,Ltd | LinkedIn",https://www.linkedin.com/company/shandong-tianjiinhong-international-trade-co--ltd,,,,no_public_business_email,,,2026-08-31T18:52:19.210663+00:00
33427276054,linkedin,2,Shandong Qilu industrial Co. Ltd - machinery branch | LinkedIn,https://www.linkedin.com/company/shandong-qilu-industrial-co-ltd/,,,,no_public_business_email,,,2026-08-31T18:52:19.650830+00:00
33427276054,linkedin,3,"SHANDONG BOXING HUAYE INDUSTRY & TRADE CO., LTD | LinkedIn",https://www.linkedin.com/company/shandonghuaye,,,,no_public_business_email,,,2026-08-31T18:52:20.060215+00:00
33427276054,linkedin,4,"Shandong Zhongsheng Materials Co., Ltd. | LinkedIn",https://www.linkedin.com/company/shandong-zhongsheng-materials-co-ltd,,,,no_public_business_email,,,2026-08-31T18:52:20.457655+00:00
33427276054,linkedin,5,"Shandong Qianhe Steel Co., Ltd",https://www.linkedin.com/company/qianhe,info@qianhesteel.com,International Sourcing & Supply Support | ROZHAN GLOBAL,"Dear Procurement Team at Shandong Qianhe Steel Co., Ltd,

I am reaching out from ROZHAN GLOBAL (Rozhan Tejarat Sirvan). We provide competitive international sourcing, supplier comparison, and cross-border procurement support to assist industrial businesses with supply continuity.

Given your active presence in the steel industry, we would welcome the opportunity to support your procurement needs. Could you let us know what materials or products you are currently sourcing or importing? We would be glad to offer a quotation or run a supplier comparison for your evaluation.

Best regards,

ROZHAN GLOBAL
Rozhan Tejarat Sirvan
Website: https://www.rojanglobal.com
WhatsApp: +989023517939",sent,gemini:gemini-3.6-flash,https://qianhesteel.com/,2026-08-31T18:52:20.870549+00:00
33427836254,facebook,1,"Changzhou midfine New Energy Technology Co., Ltd | Changzhou | ...",https://www.facebook.com/midfinecn/,,,,no_public_business_email,,,2026-08-31T18:57:20.826266+00:00
33427836254,facebook,2,ZNSHINE Solar | Changzhou | Facebook,https://www.facebook.com/ZNSHINE/,,,,no_public_business_email,,,2026-08-31T18:57:21.181100+00:00
33427836254,facebook,3,"Sunrise Energy Co., Ltd | Changzhou | Facebook",https://www.facebook.com/p/Sunrise-Energy-Co-Ltd-100069469158407/,,,,no_public_business_email,,,2026-08-31T18:57:21.576713+00:00
33427836254,facebook,4,"Shenzhen yixiang New Energy Co., Ltd. | Shenzhen | Facebook",https://www.facebook.com/p/Shenzhen-yixiang-New-Energy-Co-Ltd-100083971980230/,,,,no_public_business_email,,,2026-08-31T18:57:22.025680+00:00
33427836254,facebook,5,Super Solar Energy Technology | Xiamen | Facebook,https://www.facebook.com/chinasupersolarenergy/,,,,no_public_business_email,,,2026-08-31T18:57:22.326031+00:00
33427836254,linkedin,1,Huayao PV | LinkedIn,https://www.linkedin.com/company/hy-pv,,,,no_public_business_email,,,2026-08-31T18:57:23.532853+00:00
33427836254,linkedin,2,"Eging Photovoltaic Technology Co., Ltd. | LinkedIn",https://www.linkedin.com/company/eging-photovoltaic-technology-co-ltd-,,,,no_public_business_email,,,2026-08-31T18:57:23.702519+00:00
